;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;geores;Agrement
0;NATURALIA FRANCE (NATURALIA FRANCE);3,02475E+13;45 AV PIERRE LAROUSSE;92240;MALAKOFF;48.822231,2.303769;
1;KERMOYAN (RESTAU RAPIDE);3,0112E+13;MARCHE;69500;BRON;45.743534,4.922893;
2;NATURALIA (NATURALIA FRANCE);3,02475E+13;36 RUE EUGENE EICHENBERGER;92800;PUTEAUX;48.881317,2.23746;
3;JARDINERIE DE CHEVREUSE (JARDINERIE DE CHEVREUSE);3,08907E+13;LE BREUIL;78460;CHEVREUSE;48.698235,2.027014;
4;INTERMARCHE (VIRODIS);3,06689E+13;38 AV LE FOLL;94290;VILLENEUVE LE ROI;48.730573,2.426559;
5;VOTRE MARCHE (MONSIEUR LARBI BALQUI);3,10642E+13;56 AV J B CLEMENT;92100;BOULOGNE BILLANCOURT;48.845328,2.235582;
6;LECLERC (PLOUDAL DISTRIBUTION);3,09598E+13;KERUSCAT;29830;PLOUDALMEZEAU;48.540309,-4.66693;
7;AU PAIN SAVOYARD;3,11623E+13;CHEMIN DE LA PIERRE MORTE;73100;TRESSERVE;45.663407,5.903518;
8;SARL DEL FORNO PERE;3,13822E+13;227 ROUTE DE MONTMERLE;69830;SAINT GEORGES DE RENEINS;46.065732,4.732491;
9;BUFFALO GRILL;3,18906E+13;RUE FRANCOIS MEUNIER VIAL;69400;VILLEFRANCHE SUR SAONE;45.995441,4.734151;
10;le fournil du port (Sarl morvan);3,14911E+13;ARGENTON;29840;LANDUNVEZ;48.523135,-4.762182;
11;Boulangerie Pâtisserie (LE BORGNE);3,18759E+13;5 RTE DE LESNEVEN;29880;GUISSENY;48.633599,-4.408341;
12;LA BRIOCHE DOREE;3,18907E+13;CHAMP DU PONT;69800;SAINT PRIEST;45.71109,4.966179;
13;LA BRIOCHE DOREE;3,18907E+13;2 R JEAN JAURES;29200;BREST;48.391632,-4.483962;
14;BUFFALO GRILL;3,18906E+13;CHE DES TUILERIES;69760;LIMONEST;45.820444,4.769171;
15;PLOUGADIS;3,21641E+13;60 RUE DANIEL GILARD;29470;PLOUGASTEL DAOULAS;48.384367,-4.348447;
16;LENAIN CHRISTOPHE DANIEL;3,3362E+13;9 R ROYALE;78000;VERSAILLES;48.7986,2.12754;
17;GAILLARD*DANIEL PHILIPPE/;3,28087E+13;10 PL JEANNE D ARC;29400;LANDIVISIAU;48.510296,-4.068679;
